UniversityName,Website,State,CostOnCampusOutOfState,CostOnCampusInState,CostOffCampusOutOfState,CostOffCampusInState,PercentAdmitted,UndergradEnrollment,NumAssociate,NumBachelor,SATReadWrite,SATMath,ACTComposite,GrandTotalUndergrad,ProgramEducation,ProgramEngineering,ProgramScience,ProgramMath,ProgramPhysicalScience,ProgramBusiness
Albany Technical College,www.albanytech.edu,GA,,,7195,5059,,3181,296,,,,,4587,,,,,,
Albertus Magnus College,www.albertus.edu,CT,53124,53124,40276,40276,58,1116,57,300,410,400,15,1519,2,,18,8,2,261
Albion College,www.albion.edu,MI,59470,59470,47590,47590,68,1533,0,280,510,500,20,1634,52,,137,19,51,94
Albright College,www.albright.edu,PA,60636,60636,48966,48966,62,1912,0,491,,,,2111,5,,209,26,21,393
Alcorn State University,www.alcorn.edu,MS,24032,24032,15484,15484,89,3173,16,450,420,400,17,3297,130,,730,14,92,357
Alderson Broaddus University,www.ab.edu/,WV,40952,40952,32642,32642,43,836,1,160,460,460,18,1027,74,,85,4,11,133
Alexander Academy,www.alexanderacademy.com,MA,,,,,,61,0,,,,,79,,,,,,
Alexander Paul Institute of Hair Design,https://www.alexanderpaul.edu,NC,,,,,,33,0,,,,,69,,,,,,
Alexandria School of Scientific Therapeutics,www.assti.com,IN,,,,,,23,0,,,,,35,,,,,,
Alexandria Technical & Community College,www.alextech.edu,MN,,,13716,13716,,2614,400,,,,,4051,,,,,,
Alfred University,www.alfred.edu,NY,45104,45104,35838,35838,63,1671,0,395,480,490,20,1993,52,409,52,9,21,209
Alhambra Beauty College,alhambrabeauty.edu/,CA,,,,,,88,0,,,,,199,,,,,,
Alhambra Medical University,www.amu.edu,CA,,,,,,57,0,0,,,,59,,,,,,
Alice Lloyd College,www.alc.edu,KY,24290,24290,17950,17950,28,644,0,86,440,430,18,626,114,,172,,,41
All Beauty College,abcollege.edu/,AZ,,,,,,8,0,,,,,18,,,,,,
All Beauty College,abcollege.edu,AZ,,,,,,37,0,,,,,32,,,,,,
All Beauty College,abcollege.edu,AZ,,,,,,16,0,,,,,29,,,,,,
All-State Career School-Allied Health Campus,www.allstatecareer.edu,PA,,,20742,20742,,313,12,,,,,569,,,,,,
All-State Career School-Lester,www.allstatecareer.edu,PA,,,,,,316,0,,,,,626,,,,,,
All-State Career School-Pittsburgh,www.allstatecareer.edu/pitt.php,PA,,,,,,264,0,,,,,490,,,,,,
All-State Career-Baltimore,www.allstatecareer.edu,MD,,,,,,539,0,,,,,1066,,,,,,
Allan Hancock College,www.hancockcollege.edu/,CA,,,12949,7517,,11285,908,,,,,17070,,,,,,
Allegany College of Maryland,www.allegany.edu,MD,25346,23636,14546,12836,,2585,454,,,,,3236,,,,,,
Allegheny College,https://allegheny.edu,PA,63180,63180,51040,51040,64,1771,0,388,560,560,24,1859,,6,172,25,50,
Allegheny Wesleyan College,awc.edu,OH,14412,14412,10860,10860,,72,5,9,,,,89,,,,,,
Allen College,www.allencollege.edu,IA,,,24796,24796,,342,12,161,,,,473,,,,,,
Allen County Community College,www.allencc.edu,KS,15026,15026,7856,7856,,2540,230,,,,,4095,,,,,,
Allen School-Brooklyn,www.allenschool.edu,NY,,,,,,149,0,,,,,667,,,,,,
Allen School-Jamaica,www.allenschool.edu,NY,,,,,,126,0,,,,,593,,,,,,
Allen School-Phoenix,www.allenschool.edu,AZ,,,,,,41,0,,,,,172,,,,,,
Allen University,www.allenuniversity.edu/,SC,23170,23170,17140,17140,,698,0,59,,,,612,,,103,63,,288
Allgood Beauty Institute,allgoodbeauty.com,TX,,,,,,8,0,,,,,8,,,,,,
Alliance Computing Solutions,www.acs.edu,NY,,,,,,3,0,,,,,26,,,,,,
Alliance Computing Solutions - NYC,,NY,,,,,,,,,,,,,,,,,,
Alliant International University-San Diego,www.alliant.edu,CA,,,21628,21628,100,988,0,55,,,,2078,281,,,,,89
